Unnamed: 0,city,latitude,logitude,temperature,pressure,humidity,wind_speed,cloudiness,country
225,tiksi,71.6872,128.8694,2.59,1013.0,100.0,2.24,99.0,RU
226,walvis bay,-22.9575,14.5053,22.93,1014.0,36.0,6.09,1.0,
227,aizenay,46.74,-1.6083,18.15,1019.0,63.0,2.06,0.0,FR
228,sittwe,20.15,92.9,29.41,1002.0,78.0,8.32,41.0,MM
229,paciran,-6.8767,112.3761,25.61,1010.0,91.0,2.5,71.0,ID
230,varnamo,57.186,14.04,17.24,1020.0,1.0,0.89,99.0,SE
231,junagarh,19.8667,82.9333,32.72,999.0,48.0,2.06,94.0,IN
232,humberto de campos,-2.5983,-43.4611,29.61,1009.0,78.0,1.33,100.0,BR
233,orosei,40.3798,9.6929,18.88,1017.0,76.0,3.69,100.0,IT
234,hadibu,12.65,54.0333,30.64,1007.0,73.0,1.37,50.0,YE
235,sincik,38.0368,38.6149,12.42,1008.0,69.0,1.38,15.0,TR
236,utrik,11.2278,169.8474,27.47,1012.0,86.0,8.43,92.0,MH
237,itaituba,-4.2761,-55.9836,32.73,1009.0,52.0,2.81,99.0,BR
238,nikel,69.4128,30.222,5.1,1020.0,61.0,12.55,73.0,RU
239,halmstad,56.6745,12.8568,16.23,1021.0,77.0,2.57,100.0,SE
240,benito juarez,19.385,-99.165,28.84,1025.0,26.0,1.54,0.0,MX
241,lagos,6.5833,3.75,28.18,1010.0,82.0,3.21,61.0,NG
242,vadso,70.0744,29.7487,5.09,1015.0,65.0,16.46,75.0,NO
243,quelimane,-17.8786,36.8883,24.97,1019.0,78.0,1.72,40.0,MZ
244,axim,4.8699,-2.2405,27.6,1011.0,79.0,4.01,65.0,GH
245,quellon,-43.1167,-73.6167,7.44,1025.0,68.0,1.94,98.0,CL
246,mil'kovo,55.6078,37.7956,16.73,1032.0,62.0,3.27,49.0,RU
247,newman,37.3138,-121.0208,20.84,1009.0,45.0,4.92,99.0,US
248,waddan,29.1614,16.139,33.48,1011.0,20.0,6.29,86.0,LY
249,bamboo flat,11.7,92.7167,28.66,1003.0,83.0,9.97,100.0,IN
250,usak,38.5,29.4167,14.62,1013.0,62.0,4.05,59.0,TR
251,bata,1.8639,9.7658,24.55,1012.0,81.0,3.07,100.0,GQ
252,cadale,2.7603,46.3222,27.72,1012.0,81.0,9.69,98.0,SO
253,pavlovka,52.6897,47.1405,8.86,1033.0,63.0,0.97,66.0,RU
254,qaryat suluq,31.6682,20.2521,29.23,1015.0,21.0,5.73,38.0,LY
255,sao vicente,-23.9631,-46.3919,24.97,1013.0,78.0,0.89,18.0,BR
256,callao,-12.0667,-77.15,18.16,1016.0,82.0,2.57,100.0,PE
257,bantay,17.5847,120.3892,28.86,1008.0,79.0,1.56,98.0,PH
258,mo i rana,66.3128,14.1428,16.26,1022.0,41.0,5.36,0.0,NO
259,battagram,34.6772,73.0233,23.07,1010.0,46.0,3.08,48.0,PK
260,fremont,37.5483,-121.9886,15.3,1013.0,68.0,5.14,75.0,US
261,colonia menno,-22.3667,-59.8167,20.87,1020.0,41.0,8.23,49.0,PY
262,ocean shores,46.9737,-124.1563,11.37,1011.0,95.0,2.68,100.0,US
263,kabare,-2.4683,28.8242,16.56,1017.0,91.0,0.7,61.0,CD
264,souillac,-20.5167,57.5167,22.21,1017.0,94.0,4.63,75.0,MU
265,ratnagiri,16.9833,73.3,28.82,1005.0,89.0,3.84,100.0,IN
266,dunedin,-45.8742,170.5036,8.22,1004.0,75.0,2.68,100.0,NZ
267,colares,38.7992,-9.4469,19.5,1014.0,69.0,7.2,20.0,PT
268,uchiza,-8.4592,-76.4633,32.41,1011.0,45.0,0.71,12.0,PE
269,saint-hubert,50.05,5.3833,12.44,1017.0,83.0,3.38,78.0,BE
270,qobustan,40.0824,49.412,19.4,1019.0,67.0,3.52,84.0,AZ
271,alotau,,,,,,,,
272,hisarya,42.5,24.7,16.94,1017.0,79.0,2.44,86.0,BG
273,hermanus,-34.4187,19.2345,16.56,1025.0,83.0,6.86,100.0,ZA
274,kutum,14.2,24.6667,31.17,1010.0,13.0,5.27,3.0,SD
275,port alfred,-33.5906,26.891,17.88,1025.0,89.0,0.89,100.0,ZA
276,pakala,13.4667,79.1167,28.6,1002.0,64.0,2.43,97.0,IN
277,fort bragg,35.139,-79.006,28.99,1011.0,67.0,4.12,40.0,US
278,mitu,1.1983,-70.1733,33.13,1009.0,52.0,0.9,45.0,CO
279,lihue,21.9789,-159.3672,23.5,1021.0,77.0,5.14,100.0,US
280,camocim,-2.9022,-40.8411,30.08,1009.0,71.0,4.41,64.0,BR
281,vilyuchinsk,52.9306,158.4028,4.96,1019.0,93.0,0.35,97.0,RU
282,osakarovka,50.565,72.5692,7.46,1012.0,94.0,7.82,100.0,KZ
283,argo,37.6333,22.7333,20.23,1016.0,64.0,1.02,6.0,GR
284,lacy-lakeview,31.6293,-97.1028,30.54,1008.0,71.0,6.17,75.0,US
285,pingliang,35.5392,106.6861,18.09,1009.0,68.0,5.18,100.0,CN
286,el nido,11.1858,119.3956,29.22,1008.0,75.0,2.01,99.0,PH
287,middelburg,-25.7751,29.4648,13.49,1024.0,34.0,1.95,0.0,ZA
288,pisco,-13.7,-76.2167,19.03,1015.0,82.0,4.12,75.0,PE
289,ust'-kulom,61.6864,53.6902,9.03,1014.0,95.0,2.39,98.0,RU
290,bomdila,27.25,92.4,10.44,1011.0,86.0,2.31,83.0,IN
291,luga,58.7372,29.8453,17.57,1026.0,62.0,2.61,8.0,RU
292,saldanha,-33.0117,17.9442,16.03,1020.0,82.0,5.57,94.0,ZA
293,lerwick,60.1545,-1.1494,13.0,1019.0,92.0,5.91,22.0,GB
294,krasnozerskoye,53.9828,79.2374,6.79,1017.0,77.0,6.39,100.0,RU
295,katsuura,35.1333,140.3,19.22,1007.0,93.0,5.44,92.0,JP
296,kamina,-8.7386,24.9906,22.16,1013.0,53.0,1.62,50.0,CD
297,gananoque,44.3334,-76.1661,20.13,1009.0,67.0,5.25,5.0,CA
298,casino,-28.8667,153.05,13.65,1025.0,96.0,0.83,91.0,AU
299,santa ana,33.7456,-117.8678,17.25,1015.0,77.0,4.63,100.0,US
300,muynoq,43.7683,59.0214,17.75,1016.0,74.0,9.23,47.0,UZ
301,katsuren-haebaru,26.3369,127.8719,24.08,1011.0,96.0,0.0,75.0,JP
302,sirte,31.2089,16.5887,26.32,1011.0,46.0,9.93,94.0,LY
303,mek'ele,13.4967,39.4753,23.2,1015.0,30.0,2.9,72.0,ET
304,rio grande,-32.035,-52.0986,10.53,1015.0,90.0,10.69,99.0,BR
305,khor,47.8861,134.9464,8.18,1014.0,76.0,3.31,68.0,RU
306,kavieng,-2.5744,150.7967,28.13,1008.0,82.0,5.99,100.0,PG
307,zharkent,44.1628,80.0,21.68,1008.0,56.0,5.03,65.0,KZ
308,messini,37.0511,22.0078,23.91,1014.0,43.0,4.63,0.0,GR
309,soto la marina,23.7667,-98.2167,41.0,1005.0,31.0,7.11,0.0,MX
310,daru,-9.0763,143.2092,26.03,1010.0,93.0,6.94,68.0,PG
311,nova sintra,14.8667,-24.7167,23.19,1014.0,78.0,9.74,36.0,CV
312,susuman,62.7833,148.1667,1.1,1022.0,73.0,1.34,62.0,RU
313,tromso,69.6496,18.957,5.01,1027.0,65.0,6.17,75.0,NO
314,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,1013.0,75.0,1.0,75.0,RU
315,fortuna,40.5982,-124.1573,14.25,1013.0,86.0,4.12,100.0,US
316,remire-montjoly,4.9167,-52.2667,27.02,1010.0,94.0,1.54,75.0,GF
317,eyl,7.9803,49.8164,29.71,1007.0,74.0,8.96,65.0,SO
318,lashio,22.9333,97.75,23.06,1006.0,83.0,0.44,45.0,MM
319,olonets,60.9847,32.9698,16.43,1024.0,57.0,3.63,47.0,RU
320,tual,-5.6667,132.75,27.56,1009.0,87.0,9.95,15.0,ID
321,nizhniy kuranakh,58.8353,125.4869,8.14,1017.0,86.0,1.84,21.0,RU
322,kyaikkami,16.08,97.5675,26.69,1006.0,91.0,8.21,100.0,MM
323,hailar,49.2,119.7,11.03,1016.0,39.0,1.72,95.0,CN
324,tadjourah,12.0,42.5,33.42,1008.0,25.0,5.33,81.0,DJ
